tract_a	tract_b	adjacency
53063010503	53063010601	1
53063010503	53063010602	1
53063010503	53063010700	1
53063013700	53063013700	1
53063003600	53063013700	1
53063001000	53063013700	1
53063013700	53063014100	1
53063003800	53063013700	1
53063010402	53063013700	1
53063010601	53063013700	1
53063010401	53063013700	1
53063003600	53063003600	1
53063001000	53063003600	1
53063003600	53063003900	1
53063003600	53063003800	1
53063003500	53063003600	1
53063003600	53063004000	1
53063011300	53063011300	1
53063011300	53063011400	1
53063011300	53063011600	1
53063011300	53063011500	1
53063011300	53063011702	1
53063011300	53063014400	1
53063011300	53063014500	1
53063013300	53063013300	1
53063013202	53063013300	1
53063012402	53063013300	1
53063012300	53063013300	1
53063013300	53063013500	1
53063013300	53063013401	1
53063013300	53063014300	1
53063013100	53063013300	1
53063013202	53063013202	1
53063013201	53063013202	1
53063013100	53063013202	1
53063012402	53063012402	1
53063012402	53063012702	1
53063012402	53063012801	1
53063012300	53063012300	1
53063012300	53063013401	1
53063002900	53063012300	1
53063012100	53063012300	1
53063012300	53063014500	1
53063014200	53063014200	1
53063014100	53063014200	1
53063013500	53063014200	1
53063014200	53063014300	1
53063014001	53063014200	1
53043960400	53063014200	1
53063014200	53075000900	1
53063000300	53063000300	1
53063000200	53063000300	1
53063000300	53063001400	1
53063000300	53063001500	1
53063000300	53063000400	1
53063000300	53063011101	1
53063001000	53063001000	1
53063001000	53063002100	1
53063000700	53063001000	1
53063001000	53063010601	1
53063011400	53063011400	1
53063011400	53063013201	1
53063011400	53063013100	1
53063011400	53063011702	1
53063010900	53063010900	1
53063010900	53063011000	1
53063010700	53063010900	1
53063010800	53063010900	1
53063010900	53063011101	1
53063010900	53063011102	1
53063003900	53063003900	1
53063003900	53063013500	1
53063003800	53063003900	1
53063003900	53063004900	1
53063003900	53063004000	1
53063014100	53063014100	1
53063013500	53063014100	1
53063010402	53063014100	1
53063013800	53063014100	1
53063013900	53063014100	1
53043960200	53063014100	1
53043960400	53063014100	1
53063010401	53063014100	1
53063013500	53063013500	1
53063013401	53063013500	1
53063013500	53063014300	1
53063013401	53063013401	1
53063002900	53063013401	1
53063004700	53063013401	1
53063004602	53063013401	1
53063004800	53063013401	1
53063010304	53063010304	1
53051970400	53063010304	1
53063010304	53065951300	1
53063014300	53063014300	1
53063014300	53075000900	1
53063013201	53063013201	1
53063013100	53063013201	1
53063003800	53063003800	1
53063004900	53063004900	1
53063004700	53063004900	1
53063004400	53063004900	1
53063004800	53063004900	1
53063010402	53063010402	1
53063010402	53063013800	1
53063010402	53063013900	1
53043960200	53063010402	1
53063010402	53065951400	1
53063010402	53063010601	1
53063010401	53063010402	1
53053071310	53053071310	1
53053071309	53053071310	1
53053071304	53053071310	1
53053071305	53053071310	1
53053071306	53053071310	1
53053071307	53053071310	1
53063002600	53063002600	1
53063001800	53063002600	1
53063002500	53063002600	1
53063002600	53063014400	1
53063002600	53063014500	1
53063002900	53063002900	1
53063002900	53063003000	1
53063002900	53063004601	1
53063002900	53063004602	1
53063002900	53063014500	1
53063003200	53063003200	1
53063003200	53063003500	1
53063003200	53063004000	1
53063003200	53063004100	1
53063003200	53063014500	1
53063003500	53063003500	1
53063002500	53063003500	1
53063003500	53063004000	1
53063003500	53063014500	1
53063001800	53063001800	1
53063001800	53063002500	1
53063001500	53063001800	1
53063001800	53063014400	1
53063001800	53063014500	1
53063001900	53063001900	1
53063001900	53063002000	1
53063001900	53063002500	1
53063001400	53063001900	1
53063002000	53063002000	1
53063002000	53063002100	1
53063002100	53063002100	1
53063000200	53063000200	1
53063000200	53063001500	1
53063000200	53063014400	1
53045961100	53045961100	1
53045960800	53045961100	1
53045960600	53045961100	1
53045961000	53045961100	1
53045960400	53045961100	1
53045961100	53045961200	1
53045961100	53067012100	1
53045961100	53067011900	1
53045961100	53067012000	1
53045961100	53067990100	1
53045961100	53053072602	1
